go_id,codename,vendor_price,non_sellable
11666,Armor_F_Shirt_A11_C20_1,6800,False
18708,Armor_M_Coat_A20_C29_1,4400,False
39231,DungeonShinjukoFShirt2_Old,1000,True
44010,EFGlasses_A1_C5_8,760500,False
29957,Shield_F_Coat_A6_C30_5,16800,False
42243,Enhanced_M_Shirt_A5_C5_2,98000,False
31239,Shield_F_Coat_A6_C30_6,16800,False
23391,Armor_M_Coat_A9_C2_6,6800,False
22347,Armor_M_Coat_A9_C2_5,6800,False
21303,Armor_M_Coat_A9_C2_4,6800,False
20259,Armor_M_Coat_A9_C2_3,6800,False
19215,Armor_M_Coat_A9_C2_2,6800,False
18171,Armor_M_Coat_A9_C2_1,6800,False
39653,MerovingianStoryTrophy47,10,True
2147867648,ReviveRSIAbility,288000,False
41453,Enhanced_M_Pants_A1_C22_2,144500,False
24829,Shield_F_Coat_A6_C30_1,16800,False
41445,Enhanced_M_Pants_A1_C17_2,40500,False
39752,TestSMG1,1000,True
21009,Armor_M_Shoes_A5_C1_4,11600,False
22053,Armor_M_Shoes_A5_C1_5,11600,False
23097,Armor_M_Shoes_A5_C1_6,11600,False
17877,Armor_M_Shoes_A5_C1_1,11600,False
18921,Armor_M_Shoes_A5_C1_2,11600,False
19965,Armor_M_Shoes_A5_C1_3,11600,False
40360,RSIFragment10_16,10,True
40359,RSIFragment10_15,10,True
40358,RSIFragment10_14,10,True
40357,RSIFragment10_13,10,True
40356,RSIFragment10_12,10,True
40355,RSIFragment10_11,10,True
40354,RSIFragment10_10,10,True
48004,RSICapture_WharfRats,10000,False
44943,EMPants_A1_C18_1,242000,False
30764,Shield_F_Shirt_A12_C2_6,13200,False
28200,Shield_F_Shirt_A12_C2_4,13200,False
29482,Shield_F_Shirt_A12_C2_5,13200,False
25636,Shield_F_Shirt_A12_C2_2,13200,False
26918,Shield_F_Shirt_A12_C2_3,13200,False
24354,Shield_F_Shirt_A12_C2_1,13200,False
48196,RSICapture_MsWalls,10000,False
30943,Shield_F_Shirt_A18_C8_6,16000,False
40999,Enhanced_F_Coat_A11_C28_2,72000,False
28379,Shield_F_Shirt_A18_C8_4,16000,False
29661,Shield_F_Shirt_A18_C8_5,16000,False
25815,Shield_F_Shirt_A18_C8_2,16000,False
27097,Shield_F_Shirt_A18_C8_3,16000,False
24533,Shield_F_Shirt_A18_C8_1,16000,False
39505,AshencourteMShirt,242000,False
2147660800,CombatEnhancement1Ability,40000,False
16991,Armor_F_Shirt_A18_C12_5,16000,False
15709,Armor_F_Shirt_A18_C12_4,16000,False
10581,Armor_F_Shirt_A18_C12_6,16000,False
11863,Armor_F_Shirt_A18_C12_1,16000,False
14427,Armor_F_Shirt_A18_C12_3,16000,False
13145,Armor_F_Shirt_A18_C12_2,16000,False
16982,Armor_F_Shirt_A18_C3_5,16000,False
44607,EMPants_A8_C6_1,40000,False
42119,Enhanced_M_Shirt_A10_C23_2,50000,False
42391,Enhanced_M_Shirt_A10_C23_3,220500,False
48048,GrayBandanaMHat,4500000,False
44781,EMShirt_A7_C2_1,128000,False
21424,Armor_M_Pants_A4_C10_4,2000,False
22468,Armor_M_Pants_A4_C10_5,2000,False
